City,State,Type,Year,CrimePerCapita,Gini,HSPerc
Fairfield,California,Cities,2016,0.261960688,0.4677,0.854
Folsom,California,Cities,2016,0.129458217,0.4111,0.929
Fremont,California,Cities,2016,0.042394258,0.3903,0.938
Fresno,California,Cities,2016,0.247715303,0.5059,0.762
Fullerton,California,Cities,2016,0.140876817,0.4609,0.879
Garden Grove,California,Cities,2016,0.113488055,0.4264,0.75
Glendale,California,Cities,2016,0.098569267,0.5019,0.874
Hawthorne,California,Cities,2016,0.111983337,0.4325,0.757
Hayward,California,Cities,2016,0.124129542,0.4161,0.805
Huntington Beach,California,Cities,2016,0.294015318,0.4436,0.928
Irvine,California,Cities,2016,0.075001031,0.501,0.969
Jurupa Valley,California,Cities,2016,0.098701094,0.41,0.674
Lakewood,California,Cities,2016,0.48827529,0.3878,0.909
Lancaster,California,Cities,2016,0.432197477,0.4715,0.805
Long Beach,California,Cities,2016,0.146911912,0.4678,0.79
Los Angeles,California,Cities,2016,0.531449722,0.5335,0.765
Manteca,California,Cities,2016,0.648474787,0.4001,0.808
